address,price,date
"Rua Edmon Mário Hage 55, Moema",R$ 1.400.000,2023-03-28
"R Tucuna, Perdizes",R$ 1.100.000,2023-03-28
"Rua Francisco Duarte Graça 500, Jabaquara",R$ 1.000.000,2023-03-28
"Rua Francisco Duarte Graça 500, Jabaquara",[],2023-03-28
"Rua Padre Estevão Pernet, Vila Gomes Cardim",R$ 650.000,2023-03-28
"Carmo do Rio Verde 109, Chácara Santo Antônio",R$ 867.024,2023-03-28
"Carmo do Rio Verde 109, Chácara Santo Antônio",R$ 2.660.000,2023-03-28
"Carmo do Rio Verde 109, Chácara Santo Antônio",[],2023-03-28
"Avenida Pires do Rio 3679, Jardim Norma",R$ 260.000,2023-03-28
"Avenida Pires do Rio 3679, Jardim Norma",R$ 540.104,2023-03-28
"AL Joaquim Eugênio de Lima, Jardim Paulista",R$ 2.400.000,2023-03-28
"AL Joaquim Eugênio de Lima, Jardim Paulista",[],2023-03-28
"Avenida MARQUES DE SAO VICENTE, Barra Funda",R$ 21.000.000,2023-03-28
"Avenida MARQUES DE SAO VICENTE, Barra Funda",R$ 4.100.000,2023-03-28
"R Dos Cafezais, Jardim Prudência",R$ 860.000,2023-03-28
"R Dos Cafezais, Jardim Prudência",[],2023-03-28
"Rua Adherbal Stresser, Parque Ipê",R$ 10.036.800.000,2023-03-28
"Avenida dos Remédios 1674, Vila dos Remédios",R$ 2.750.000,2023-03-28
"Avenida dos Remédios 1674, Vila dos Remédios",R$ 583.000,2023-03-28
"Avenida dos Remédios 1674, Vila dos Remédios",[],2023-03-28
